cs 4410,operating systems,"Introduction to the design of systems programs, with emphasis on multiprogrammed operating systems. Topics include concurrency, synchronization, deadlocks, memory management, protection, input-output methods, networking, file systems and security. The impact of network and distributed computing environments on operating systems is also discussed.","fall,spring,summer",scientific computing,"cs 3410,cs 3420",
cs 4411,practicum in operating systems,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.","fall,spring",artificial intelligence,,
cs 4420,computer architecture,"This course aims to provide a strong foundation for students to understand modern computer system architecture and to apply these insights and principles to future computer designs. The course is structured around the three primary building blocks of general-purpose computing systems: processors, memories, and networks. The first half of the course focuses on the fundamentals of each building block. Topics include processor microcoding and pipelining; cache microarchitecture and optimization; and network topology, routing, and flow control. The second half of the course delves into more advanced techniques and will enable students to understand how these three building blocks can be integrated to build a modern shared-memory multicore system. Topics include superscalar execution, branch prediction, out-of-order execution, register renaming and memory disambiguation; VLIW, vector, and multithreaded processors; memory protection, translation, and virtualization; and memory synchronization, consistency, and coherence. This course includes a significant project decomposed into five lab assignments. Throughout the semester, students will gradually design, implement, test, and evaluate a complete multicore system capable of running real parallel applications at the register-transfer level.",fall,core,"cs 3420,cs 3410",
cs 4700,foundations of artificial intelligence,"Challenging introduction to the major subareas and current research directions in artificial intelligence. Topics include knowledge representation, heuristic search, problem solving, natural-language processing, game-playing, logic and deduction, planning, and machine learning.","fall,spring",general,cs 2110;cs 2800,
cs 4701,practicum in artificial intelligence,"Project portion of CS 4700. Topics include knowledge representation systems, search procedures, game-playing, automated reasoning, concept learning, reinforcement learning, neural nets, genetics algorithms, planning, and truth maintenance.","fall,spring",networks,,
cs 4740,natural language processing,"Computationally oriented introduction to natural language processing, the goal of which is to enable computers to use human languages as input, output, or both. Possible topics include parsing, grammar induction, information retrieval, and machine translation.",fall,computer graphics,cs 2110,
cs 4750,foundations of robotics,"Challenging introduction to basic computational concepts used broadly in robotics. Topics include simulation, kinematics, dynamics, control, optimization, and probabilistic inference. The mathematical basis of each area is emphasized, and concepts are motivated using common robotics applications and programming exercises. Students will participate in a series of projects over the course of the semester, in which they will implement algorithms that apply each of the topics discussed in class to real robotics problems.",fall,computer graphics,,
cs 4775,computational genetics and genomics,"Computational methods for analyzing genetic and genomic data._ Topics include sequence alignment, hidden Markov Models for discovering sequence features, motif finding using Gibbs sampling, phylogenetic tree reconstruction, inferring haplotypes, and local and global ancestry inference. Prior knowledge of biology is not necessary to complete this course.",fall,computer vision,,
cs 4786,machine learning for data science,"An introduction to machine learning for data-science applications. Topics include dimensionality-reduction (such as principal components analysis, canonical correlation analysis, and random projection); clustering (such as k-means and single-link); probabilistic modeling (such as mixture models and the EM algorithm). This course can be taken independently or in any order with CS 4780/CS 5780.",fall,artificial intelligence,,
cs 4810,introduction to theory of computing,"Introduction to the modern theory of computing: automata theory, formal languages, and effective computability.",fall,artificial intelligence,cs 2800,
cs 4820,introduction to analysis of algorithms,"Develops techniques used in the design and analysis of algorithms, with an emphasis on problems arising in computing applications. Example applications are drawn from systems and networks, artificial intelligence, computer vision, data mining, and computational biology. This course covers four major algorithm design techniques (greedy algorithms, divide-and-conquer, dynamic programming, and network flow), undecidability and NP-completeness, and algorithmic techniques for intractable problems (including identification of structured special cases , approximation algorithms, local search heuristics, and online algorithms).","fall,spring,summer",artificial intelligence,cs 2800;cs 3110,
cs 4998,team projects,Advanced independent work in computer science as part of a student-led team project._,"fall,spring",artificial intelligence,,
cs 4999,independent reading and research,Independent reading and research for undergraduates.,"fall,spring",core,,
cs 5114,network programming languages,"This course provides an introduction to novel programming languages for controlling computer networks. It will examine recent proposals based on logic, functional, and streaming languages, as well as tools for establishing the correctness of programs written in such languages using SAT/SMT solvers, model checkers, and proof assistants. Evaluation will be based on class participation and projects.",fall,scientific computing,"cs 4110,cs 6110,cs 6410",
cs 5220,applications of parallel computers,"Models for parallel programming and survey of parallel machines. Existing parallel programming languages, vectorizing compilers, and parallel libraries and toolboxes.",fall,networks,,
cs 5306,crowdsourcing and human computation,"""Crowdsourcing"" and ""human computation"" refer to various ways that people and computing have been brought together to achieve outcomes that were previously beyond our individual capabilities or expectations. Google's search algorithms, Wikipedia's millions of articles, Amazon's recommendations, and the success of Linux and other open source software projects are examples of ways in which technology and people together have exceeded the capabilities of people or machines in isolation. This course will survey the state of the art in this area, giving practical knowledge of the area, grounded in examples in such areas as artificial intelligence, citizen science, computational photography, e-commerce, epidemiology, finance, human perception, microlabor markets, and online gaming.",fall,general,"cs 1110,cs 1114,cs 2110,cs 3110",
cs 5320,introduction to database systems,"Introduction to modern database and data storage systems. Concepts covered include data models, query languages, database design, storage structures, access methods, query processing and optimization, transaction management, and recovery in both relational and nonrelational data storage systems.",fall,general,"cs 2110,cs 2800",
cs 5321,practicum in database systems,Students build part of a real database system in C++.,fall,general,,
cs 5356,startup systems design and engineering,"This course aims to bridge the gap between academic studies of computer science and production software engineering. The course provides a fast-paced introduction to key tools and techniques that can facilitate the building of prototypes and of actual working systems. It introduces technologies for building Web applications and mobile applications, systems for effective storage of data, and tools that support and ease code writing, such as distributed version-control systems, editors and debuggers.",fall,general,"cs 2110,cs 2112",
cs 5357,advanced startup systems,"This hands on course is an extension of CS 5356_and will cover advanced topics including monitoring, scaling, redundancy, and deployment of production-ready systems.",fall,cryptography,cs 5356,
cs 5414,distributed computing principles,"Studies the abstractions and algorithms that constitute the foundations for implementing concurrent and distributed computing, with emphasis on supporting fault-tolerance. Topics vary to reflect advances in the field but typically include global state snapshots, causality and clocks (logical and physical), agreement and consensus, primary-backup and state-machine replication, quorums, and gossip. Students undertake a substantial software project to put these ideas into practice. Many students obtain additional project credit by co-registering in CS 4999_or CS 5999.",fall,general,cs 4410,
cs 5435,security and privacy concepts in the wild,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products. Less attention will be paid to specific skills such as hacking, writing secure code, and security administration. Topics will include user authentication, cryptography, malware, behavioral economics in security, human factors in security, privacy and anonymity, side channels, decoys and deception, and adversarial modeling. We will explore these concepts by studying real-world systems and attacks, including Bitcoin, Stuxnet, retailer breaches, implantable medical devices, and health apps, and considering issues to come in personal genomics, virtual worlds, and autonomous vehicles.",fall,general,"cs 2800,cs 4820",
cs 5450,networked and distributed systems,"Appropriate for advanced students who have no or limited networking knowledge. Note that there is project work in C or C++, so students should either know it or be prepared to learn it. Focuses on architectural principles of computer networking, network design principles (simplicity, scalability, performance, end-to-end), and how the Internet works today.",fall or spring,general,cs 4410,
cs 5650,virtual and augmented reality,"Augmented and virtual reality technologies and applications are becoming increasingly popular. This course presents an introduction to this exciting area, with an emphasis on designing and developing virtual and augmented reality applications. The course will cover the history of the area, hardware technologies involved, interaction techniques, design guidelines, evaluation methods, and specific application areas. Students will be tasked with designing, developing, and evaluating their own augmented or virtual reality application as a course project.",,scientific computing,,
cs 5727,optimization methods,"This course covers algorithmic and computational tools for solving optimization problems with the goal of providing decision-support for business intelligence. We will cover the fundamentals of linear, integer and nonlinear optimization. We will emphasize optimization as a large-scale computational tool, and show how to link programming languages with optimization software to develop industrial-strength decision-support systems. We will demonstrate how to incorporate uncertainty into optimization problems. Throughout the course, we will cover_a variety of modern applications, including pricing and marketing for e-commerce, ad auctions on the web, and on-line ride-sharing.",,scientific computing,,
cs 5740,natural language processing,"This course constitutes an introduction to natural language processing (NLP), the goal of which is to enable computers to use human languages as input, output, or both. NLP is at the heart of many of today's most exciting technological achievements, including machine translation, automatic conversational assistants and Internet search. Possible topics include summarization, machine translation, sentiment analysis and information extraction as well as methods for handling the underlying phenomena (e.g., syntactic analysis, word sense disambiguation, and discourse analysis).",fall,general,"cs 2110;cs 4780,cs 4786,cs 5785",
cs 5750,foundations of robotics,"Challenging introduction to basic computational concepts used broadly in robotics. Topics include simulation, kinematics, dynamics, control, optimization, and probabilistic inference. The mathematical basis of each area is emphasized, and concepts are motivated using common robotics applications and programming exercises. Students will participate in a series of projects over the course of the semester, in which they will implement algorithms that apply each of the topics discussed in class to real robotics problems.",fall,cryptography,,
cs 5785,applied machine learning,"Learn and apply key concepts of modeling, analysis and validation from machine learning, data mining and signal processing to analyze and extract meaning from data. Implement algorithms and perform experiments on images, text, audio and mobile sensor measurements. Gain working knowledge of supervised and unsupervised techniques including classification, regression, clustering, feature selection, and dimensionality reduction.",fall,cryptography,cs 2800,
cs 5786,machine learning for data science,"An introduction to machine learning for data-science applications. Topics include dimensionality-reduction (such as principal components analysis, canonical correlation analysis, and random projection); clustering (such as k-means and single-link); probabilistic modeling (such as mixture models and the EM algorithm)._This course can be taken independently or in any order with CS 4780/CS 5780.",fall,cryptography,,
cs 5854,networks and markets,"The course examines how the computing, economic and sociological worlds are connected and how these connections affects these worlds. Tools from computer science, game theory and mathematics are introduced and then used to analyze network structures present in everyday life. Topics covered include social networks, web search, auctions, markets, voting, and crypto-currencies (e.g. bitcoin).",fall,cryptography,,
cs 5998,master of engineering internship,Off-campus internship with industry in which a student gains knowledge and experience in the field of computer science.,"fall,spring",computer graphics,,
cs 5999,master of engineering project,Independent or group project under the direction of a CS field member or researcher. Projects involve the development of a computer science application (software or hardware) useful in exploring and/or solving an engineering problem with a computer science focus.,"fall,spring",computer graphics,,
cs 6114,network programming languages,"This course provides an introduction to novel programming languages for controlling computer networks. It will examine recent proposals based on logic, functional, and streaming languages, as well as tools for establishing the correctness of programs written in such languages using SAT/SMT solvers, model checkers, and proof assistants. Evaluation will be based on class participation and projects.",fall,computer vision,"cs 4110,cs 6110,cs 6410",
cs 6115,certified software systems,"In recent years, it has become practical to build large software systems using formal proof assistants. Examples of such certified systems include the seL4 microkernel, the CompCert C compiler, the Vellvm LLVM compiler, and the Bedrock library. This course provides a hands-on introduction to programming using the Coq proof assistant. Assessment is based on participation and a substantial course project.",fall,general,cs 6110,
cs 6180,introduction to constructive type theory,"Constructive type theory is the mathematical foundation for modern proof assistants, which are software systems used to help verify the correctness of programs and mathematical proofs. Proof assistants are also used in teaching advanced programming and are essential tools in the study of formal methods. This course will cover the basics of the theory and then explore a number of applications ranging from verification that programs correctly meet their stated specifications to their use in solving open problems in mathematics. The extensive and rich research literature over the past forty years, along with several textbooks, will form the basis of this course.",fall,artificial intelligence,,
cs 6220,data-sparse matrix computations,"Matrices and linear systems can be data-sparse in a wide variety of ways, and we can often leverage such underlying structure to perform matrix computations efficiently. This course will discuss several varieties of structured problems and associated algorithms. Example topics include randomized algorithms for numerical linear algebra, Krylov subspace methods, sparse recovery, and assorted matrix factorizations.",fall,artificial intelligence,"cs 4220,cs 6210.",
cs 6410,advanced systems,"Advanced course in systems, emphasizing contemporary research in distributed systems. Topics may include communication protocols, consistency in distributed systems, faulttolerance, knowledge and knowledge-based protocols, performance, scheduling, concurrency control, and authentication and security issues.",fall,artificial intelligence,cs 4410,
cs 6432,distributed consensus and blockchains,"Distributed consensus protocols have been widely adopted in replicated databases and_decentralized cryptocurrencies. In this course, we will explore how to design formally secure_protocols that allow nodes to reach consensus in a distributed system. Both classical_consensus and modern blockchains will be discussed.",fall,cryptography,cs 2800,
cs 6455,advanced computer networking,"This course explores state-of-the-art network architectures and protocols through a review of recent research literature, discussions during lectures and class projects. Students will complete a semester-long research project based on one of the topics covered in the class._",fall,general,cs 4410,
cs 6465,emerging cloud technologies and systems challenges,"Course explores new hardware and software technologies that are likely to have a major impact on large-scale computer systems, with a focus on understanding the research challenges that will arise as we start to integrate them into existing cloud infrastructures. The class will center on a mix of readings, discussion, and individualized research activities. The technologies to be discussed may include, for example, RDMA networking, network interfaces with novel capabilities, new memory options such as 3D-XPoint and high-density multi-layer NAND/SSD, battery-backed SSD, NetFPGA and GPU co-processors, and the new Intel SGX enclave security technology.",fall,general,cs 6410,
cs 6670,computer vision,"This course will introduce the core problems of computer vision and discuss both classical approaches based on the geometry and physics of image formation as well as current approaches based on recent advances in deep learning. Topics include stereopsis and 3D reconstruction, optical flow, image segmentation, object recognition, feature representations of images and patches, and convolutional networks.",fall,general,,
cs 6741,structured prediction for natural language processing,"Robust language understanding has the potential to transform how we interact with computers, extract information from text and study language on large scale. However, to accurately recover the meaning of language, automated systems must learn to reason about the meaning of words and the intricate structures they combine to. This research-oriented course examines machine learning and inference methods for recovering structured representations of language meaning. Possible topics include formalisms, inference and learning for: sequence models (tagging, named-entity recognition), tree models (constituency and dependency parsing), mapping sentences to logical form representations and alignment models (machine translation).",fall,general,"cs 2110;cs 4780,cs 5780,cs 6780",
cs 6742,natural language processing and social interaction,"More and more of life is now manifested online, and many of the digital traces that are left by human activity are increasingly recorded in natural-language format. This research-oriented course examines the opportunities for natural language processing to contribute to the analysis and facilitation of socially embedded processes. Possible topics include sentiment analysis, learning social-network structure, analysis of text in political or legal domains, review aggregation systems, analysis of online conversations, and text categorization with respect to psychological categories.",fall,scientific computing,cs 2110,
cs 6784,advanced topics in machine learning,"Extends and complements CS 4780_and CS 5780, giving in-depth coverage of new and advanced methods in machine learning.",fall,database,"cs 4780,cs 5780",
cs 6787,advanced machine learning systems,"Graduate-level introduction to system-focused aspects of machine learning, covering guiding principles and commonly used techniques for scaling up to large data sets. Topics will include stochastic gradient descent, acceleration, variance reduction, methods for choosing metaparameters, parallelization within a chip and across a cluster, and innovations in hardware architectures. An open-ended project in which students apply these techniques is a major part of the course.",fall,cryptography,"cs 4780,cs 4786",
cs 6820,analysis of algorithms,"Methodology for developing and analyzing efficient algorithms. Understanding the inherent complexity of natural problems via polynomial-time algorithms, advanced data structures, randomized algorithms, approximation algorithms, and NP-completeness. Additional topics may include algebraic and number theoretic algorithms, circuit lower bounds, online algorithms, or algorithmic game theory.",fall,cryptography,cs 4820,
cs 7090,computer science colloquium,Weekly meeting for the discussion and study of important topics in the field.,"fall,spring",cryptography,,
cs 7190,seminar in programming languages,"The Programming Languages Discussion Group meets weekly to discuss papers in the area of programming languages, program analysis, and compilers. The goal is to encourage interactions and discussions between students, researchers, and faculty with interests in this area. The seminar is open to everybody interested in languages and compilers. First-year and second-year students are especially encouraged to participate.","fall,spring",artificial intelligence,cs 6110,
cs 7290,seminar on scientific computing and numerics,"Talks on various methods in scientific computing, the analysis of their convergence properties and computational efficiency, and their adaptation to specific applications.","fall,spring",artificial intelligence,,
cs 7390,database seminar,The database seminar is the weekly meeting of students and faculty interested in data management and data mining at Cornell. We typically discuss one or two papers on related topics per session. We focus on recent and seminal papers of general interest.,"fall,spring",artificial intelligence,,
cs 7490,systems research seminar,"The Systems Research Seminar discusses recent, interesting papers in the systems area, broadly defined to span operating systems, distributed systems, networking, architecture, databases, security, and programming languages. The goal is to foster technical discussions among the Cornell systems research community.","fall,spring",artificial intelligence,,
cs 7493,computer security seminar,"This is a graduate seminar primarily aimed at Ph.D. students. Students will read, present, and discuss recent and classic papers in the computer security area. Outside speakers will also be invited to present current research.","fall,spring",networks,cs 4410,
cs 7790,seminar in artificial intelligence,"The AI seminar will meet weekly for lectures by graduate students, faculty, and researchers emphasizing work-in-progress and recent results in AI research.","fall,spring",scientific computing,,
cs 7794,seminar in natural language understanding,"This course, the NLP seminar, is a weekly meeting for people currently or soon to be actively doing research in NLP. (Students simply looking to learn more about NLP should not enroll, but should take one of our lecture courses instead.) One participant leads discussion each week, either of a recently published paper or of their own work in progress. Attendance at all sessions is mandatory.","fall,spring",general,,
cs 7796,robotics seminar,Informal seminar in which current topics in robotics are discussed.,"fall,spring",general,,
cs 7890,seminar in theory of algorithms and computing,,"fall,spring",general,,
cs 7893,cryptography seminar,Seminar for discussing recent or classical papers in cryptography.,"fall,spring",general,,
cs 7999,independent research,Independent research for CS PhD students who have not yet passed their A-exam.,"fall,spring",cryptography,,
cs 9999,thesis research,Doctoral research.,"fall,spring",computer graphics,,
cs 1380,data science for all,"This course provides an introduction to data science. Given data from economics, medicine, biology, or physics, collected from internet denizens, survey respondents, or wireless sensors, how can one understand the phenomenon generating the data, make predictions, and improve decisions? We focus on building skills in inferential thinking and computational thinking, guided by the practical questions we seek to answer. The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets including economic data, document collections, geographical data, and social networks. We will also consider social issues in data analysis such as privacy and design.",spring,cryptography,,
cs 1710,introduction to cognitive science,"This course provides an introduction to the science of the mind._ Most people have privileged access to one mind, yet this internal experience is often misleading and provides little insight into how minds emerge from physical entities like brains (or other substrates). Instead, an objective, deliberated, and multidisciplinary approach is necessary._ To that end, cognitive science draws on, and integrates, at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy._ This course provides an introduction to the insights that these disciplines offer cognitive science while introducing students to current understanding of attention, memory, visual perception, learning, problem solving, language comprehension, and consciousness._","spring,summer (six-week session)",general,,
cs 2300,intermediate design and programming for the web,"Web programming requires the cooperation of two machines: the one in front of the viewer (client) and the one delivering the content (server)._INFO 1300_concentrates almost exclusively on the client side. The main emphasis in INFO 2300 is learning about server side processing. Students begin with a short overview of the PHP server-side scripting language, then look at interactions with databases, learning about querying via the database language SQL. Through a succession of projects, students learn how to apply this understanding to the creation of an interactive, data-driven site via PHP and the MYSQL database. Also considered are technologies such as Javascript and Ajax and techniques to enhance security and privacy. Design and usability issues are emphasized. A major component of the course is the creation of a substantial web site.",spring,general,cs 1300,
cs 2770,excursions in computational sustainability,"Balancing environmental, economic, and societal needs for a sustainable future encompasses problems of unprecedented size and complexity. Computing and information science can play an important role in addressing critical sustainability challenges faced by present and future generations. The goal of the course is to introduce students to a range of sustainability challenges and to computational methods that can help address such challenges. Sustainability topics include sustainable development, biodiversity and wildlife conservation, poverty mitigation, food security, renewable resources, energy, transportation, and climate change. In the context of these sustainability topics, the course will introduce students to mathematical and computational modeling techniques, algorithms, and statistical methods. The course is at the introductory undergraduate level. Students are expected to have basic knowledge of probability theory and calculus.",spring,scientific computing,,
cs 3152,introduction to computer game architecture,"A project-based course in which programmers and designers collaborate to make a computer game. This course investigates the theory and practice of developing computer games from a blend of technical, aesthetic, and cultural perspectives. Technical aspects of game architecture include software engineering, artificial intelligence, game physics, computer graphics, and networking. Aesthetic and cultural include art and modeling, sound and music, game balance, and player experience.",spring,computer graphics,,
cs 3300,data-driven web applications,"This course will introduce students to working with data in the context of modern web applications. These include data representation with relational and non-relational databases, data mining to find patterns and make predictions, and graphical presentation for visualization.",spring,database,cs 2110;cs 2300,
cs 3420,embedded systems,"An introduction to the design of embedded systems, with an emphasis on understanding the interaction between hardware, software, and the physical world. Topics covered include assembly language programming, interrupts, I/O, concurrency management, scheduling, resource management, and real-time constraints.",spring,core,,
cs 4120,introduction to compilers,"An introduction to the specification and implementation of modern compilers. Topics covered include lexical scanning, parsing, type checking, code generation and translation, an introduction to program analysis and optimization, and compile-time and run-time support for modern programming languages. As part of the course, students will build a working compiler for an object-oriented language.",spring,general,cs 3110,
cs 4121,practicum in compilers,Students will build a working compiler for an object-oriented language.,spring,general,,
cs 4152,advanced topics in computer game architecture,"Project-based follow-up course to CS 3152. Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices._ There is a special emphasis on developing games that can be submitted to festivals and competitions.",spring,computer graphics,"cs 3152;cs 3300,cs 4620,cs 4700,cs 4758,cs 5414",
cs 4220,numerical analysis: linear and nonlinear problems,"Introduction to the fundamentals of numerical linear algebra: direct and iterative methods for linear systems, eigenvalue problems, singular value decomposition. In the second half of the course, the above are used to build iterative methods for nonlinear systems and for multivariate optimization. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.",spring,scientific computing,,
cs 4300,language and information,"How to make sense of the vast amounts of information available online, and how to relate it and to the social context in which it appears? This course introduces basic tools for retrieving and analyzing unstructured textual information from the web and social media. Applications include information retrieval (with human feedback),_sentiment analysis and social analysis of text. The coursework will include_programming projects that play on the interaction between knowledge and social factors.",spring,artificial intelligence,,
cs 4450,introduction to computer networks,"This course introduces the basic architectural and design principles of computer networking including the design of communication protocols, congestion control, routing and switching, Internet, data center networks and wireless networks.",spring,networks,cs 4410,
cs 4620,introduction to computer graphics,"Introduction to the principles of computer graphics in two and three dimensions. _Topics include_digital images, filtering and antialiasing, 2-D and 3-D affine geometry, ray tracing, perspective and 3-D viewing, the graphics pipeline, curves and surfaces, and human visual perception. This course emphasizes fundamental techniques in graphics, with both written and practical assignments. _May be taken with or without concurrent enrollment in CS 4621.",spring,computer graphics,cs 2110,
cs 4621,computer graphics practicum,Provides CS 4620_students with hands-on experience in computer graphics programming on modern graphics hardware. This course emphansizes effective use of graphics APIs and the architecture of graphics applicaitons. _A final project involves building a substantial interactive graphics system. _The course uses Java and OpenGL for code development.,spring,computer graphics,,
cs 4670,introduction to computer vision,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world-the 3D shape of an environment, the motion of objects, the names of people or things-through analysis of digital images or videos. _The course covers a range of topics, including 3D reconstruction, image segmentaion, object recognition, and vision algorithms fro the Internet, as well as key algorithmic, optimization, and machine learning techniques, such as graph cuts, non-linear least squares, and deep learning. _This course emphasizes hands-on experience with computer vision, and several large programming projects.",spring,computer vision,"cs 2110,cs 2800",
cs 4744,computational linguistics,Computational models of natural languages. Topics include tree syntax and treebank databases; broad-coverage probabilistic grammars; finite state generative phonology; computational semantics; computational minimalist grammar; finite state optimality-theoretic phonology; Hidden Markov models of acoustic realization; text and speech corpora; lab methods in Unix/Linux environment.,spring,artificial intelligence,,
